0	-0.32035	-0.04227	0.14092
1	0.95904	0.73502	0.73794
2	-0.43071	-0.08473	0.21885
3	0.26342	-0.18017	1.0134
4	-0.54208	-0.63489	1.3554
5	-0.088768	-0.35017	0.77309
6	0.031031	-0.28554	1.5639
7	0.58293	-0.25547	2.5479
8	0.90794	-0.686	2.069
9	0.64173	-0.63982	2.122
10	0.35956	0.46826	2.7681
11	1.0084	-1.6948	2.6657
12	1.0548	0.52714	3.2567
13	0.77003	-0.44079	2.8751
14	1.0502	-0.13154	2.8407
15	1.0255	-1.4856	2.9877
16	0.38027	-0.97057	3.3458
17	1.3081	-0.83658	2.798
18	0.65437	-0.50819	3.3036
19	0.73562	-1.5766	1.3726
20	1.1807	-0.52772	2.0696
21	0.99305	-1.392	2.3196
22	1.1355	-0.77443	1.6914
23	1.5537	-0.50334	1.3784
24	1.834	-0.68798	2.2323
25	1.2663	-0.33219	2.1375
26	1.5837	-0.39246	1.8832
27	1.3553	-1.2429	1.8436
28	1.6439	-0.81096	1.118
29	1.8037	-1.4337	1.2119
30	1.3298	-1.6444	1.3148
31	1.8303	-0.54306	0.93157
32	2.0481	-1.0274	1.3488
33	1.8483	-1.0769	2.2729
34	2.7216	-0.61589	0.75654
35	1.6071	-0.79616	1.2288
36	1.5974	-0.94035	0.31
37	1.1456	-0.51231	1.4231
38	2.5304	-0.69454	0.19481
39	2.5633	-1.0615	0.70983
40	2.1444	-1.5486	0.22226
41	2.6882	-1.5512	0.71365
42	2.3854	-0.65136	0.38941
43	2.4936	-2.0753	0.28783
44	2.4593	-1.3036	1.7105
45	2.6774	-2.2878	-0.15303
46	2.5629	-0.82514	0.064643
47	3.9603	-0.92653	1.3557
48	2.0379	-1.3788	-0.63309
49	1.7487	-1.4368	0.14284
50	2.1601	-2.6665	-0.7458
51	2.2384	-1.0813	0.23384
52	2.6229	-2.4136	-0.19163
53	2.8101	-2.4225	-0.10324
54	2.8396	-1.1684	-0.64265
55	3.2742	-1.6281	-0.45454
56	3.2528	-0.89363	0.085213
57	3.4884	-0.70638	-1.7989
58	4.0565	-0.56151	-1.1342
59	3.8335	-1.2815	0.23404
60	2.6349	-0.65668	0.042745
61	2.1667	-0.77655	0.56577
62	3.8368	-0.35934	0.30931
63	2.6079	-0.44979	0.94917
64	3.8212	-0.21443	1.5433
65	4.0677	-0.67484	1.7263
66	5.4256	-0.62797	1.9998
67	4.5395	0.0040159	2.5659
68	4.5826	-1.5072	2.6493
69	5.2162	-0.64316	4.1354
70	5.4833	-0.97167	3.3141
71	5.6576	-0.47316	4.7272
72	5.5803	0.096969	3.492
73	5.5354	0.22058	2.8142
74	6.5671	-0.84845	3.0917
75	5.9995	-0.7252	3.7292
76	6.4169	-0.56984	3.6508
77	7.8607	-0.93298	3.0639
78	7.2477	-0.78483	2.9884
79	7.6572	-0.88446	3.0221
80	8.4481	-1.6981	1.8253
81	8.119	-1.4702	2.0967
82	9.0546	-2.5965	1.3053
83	8.6382	-1.1065	1.8286
84	9.588	-2.1424	2.3605
85	9.6671	-2.5785	2.0774
86	9.5167	-2.2522	2.6953
87	9.4612	-2.7545	1.4676
88	9.6434	-1.77	0.13873
89	10.301	-1.7593	1.8944
90	10.488	-0.10949	1.5237
91	10.773	-0.34853	0.42396
92	11.74	-1.8856	0.65936
93	11.37	-0.13589	0.77055
94	12.362	-0.77501	0.40594
95	11.795	0.07714	0.39454
96	12.818	0.56748	-0.17723
97	12.341	1.1398	-0.30751
98	12.962	0.90997	-0.41129
99	13.63	2.1153	-0.87527
100	13.208	1.3672	0.29007
101	13.338	2.0521	-0.35921
102	14.381	2.5013	0.0399
103	13.676	2.4921	-0.67177
104	12.806	3.1706	-0.72289
105	13.168	3.1724	-0.17173
106	12.485	2.8993	-0.1936
107	12.839	2.6693	0.58924
108	13.016	4.7819	0.35389
109	11.327	3.8309	0.38015
110	12.465	4.4655	-0.55355
111	12.501	4.976	-0.25589
112	11.617	5.0318	0.38801
113	12.288	4.8033	0.39632
114	11.314	5.3632	1.552
115	10.439	5.8919	1.9142
116	9.8826	7.0512	1.2899
117	11.046	6.2386	2.3545
118	11.802	7.4186	2.9513
119	11.837	7.5379	2.7508
120	12.118	7.624	3.7386
121	11.856	7.5698	3.7948
122	12.45	8.3135	3.7073
123	11.791	8.7695	4.3754
124	12.464	8.4355	4.3708
125	12.667	9.6236	4.4028
126	13.57	9.4737	5.1262
127	13.536	10.195	5.2042
128	13.198	10.768	5.0378
129	14.004	10.504	6.1396
130	13.897	11.17	5.3987
131	14.142	11.846	6.6873
132	15.14	11.111	5.208
133	14.998	12.904	5.6722
134	15.374	13.956	6.2154
135	15.849	13.58	6.8227
136	15.731	13.3	5.6439
137	16.149	14.03	5.131
138	16.448	13.655	5.9618
139	16.925	15.469	4.9342
140	16.811	15.358	5.4912
141	17.512	15.638	5.798
142	17.05	15.164	6.4409
143	17.248	16.119	6.4487
144	18.356	16.037	5.7503
145	17.483	16.518	6.2601
146	17.97	16.746	5.6715
147	18.664	16.876	6.1967
148	18.512	17.291	6.8578
149	19.373	17.998	6.0125
150	19.42	17.611	5.8179
151	19.117	19.121	5.7521
152	18.474	19.116	6.3944
153	19.038	19.882	6.7388
154	17.955	20.024	7.167
155	18.66	20.494	6.1652
156	18.834	19.863	6.2537
157	18.428	20.451	5.8898
158	18.653	21.095	7.0462
159	19.124	21.731	6.2364
160	18.458	22.598	6.0716
161	18.021	22.246	7.4343
162	18.1	23.379	6.7811
163	17.884	23.343	6.7683
164	16.905	24.05	5.9414
165	17.246	23.883	6.6952
166	18.103	23.849	6.7723
167	17.633	23.794	6.2047
168	18.111	24.97	6.9636
169	17.481	25.659	7.045
170	18.181	25.46	7.6824
171	18.613	25.693	7.086
172	17.796	26.167	8.305
173	18.815	26.13	8.8239
174	18.715	26.789	7.9506
175	18.501	27.303	8.3433
176	19.116	27.773	8.9625
177	18.351	28.076	9.6725
178	18.4	28.771	9.6935
179	19.04	28.877	9.9926
180	19.297	30.087	9.9143
181	19.371	29.693	10.402
182	19.259	30.797	11.186
183	20.43	29.89	12.082
184	19.653	30.836	11.886
185	20.67	30.536	11.361
186	21.173	31.06	12.542
187	20.944	31.15	12.641
188	21.235	29.853	12.927
189	21.242	30.376	13.301
190	20.933	30.412	13.332
191	21.896	31.298	13.973
192	22.641	31.775	14.103
193	23.273	30.819	14.674
194	22.432	31.33	15.277
195	22.076	31.139	15.667
196	23.216	30.283	15.833
197	23.564	30.95	16.103
198	23.505	30.318	16.434
199	23.287	31.394	16.885
